,Sources/Attributes,label,score,count,Aromatic,Woody,Fruity,Oriental,Fine,Elevating,Delicate,Light,Heavy,Young,Old,Gentle,Wild,Soothing,Exciting,Bright,Dark,Sweet,Bitter,Boring,Interesting,Hot,Cold,Deep,Quiet,Hard,Soft,Flat,Tasty,Pungent,Dull,Serious,Full,Empty,Active,Passive,Stale,Fresh,Cheerful,Discordant,Harmonious,Severe,Mild,Peaceful,Ugly,Beautiful,Unpleasant,Pleasant,Mimosa Absolute,Leather,Cinnamon Oil,Spicy,Tobacco,Nitro Musk,Musk,not perceptible,very weak,weak,distinct,strong,very strong,extremely strong,Smoke,Burning,Almonds,Fish,Incense,Industrial,Green,Vinegar,Medicinal,Musty,Sweet pungent
988,http://data.odeuropa.eu/vocabulary/olfactory-objects/138,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,255.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,3.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1768,http://data.odeuropa.eu/vocabulary/olfactory-objects/432,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,http://data.odeuropa.eu/vocabulary/olfactory-objects/432,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,http://data.odeuropa.eu/vocabulary/olfactory-objects/138,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,255.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,3.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
771,http://data.odeuropa.eu/vocabulary/olfactory-objects/138,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,255.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,3.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1406,http://data.odeuropa.eu/vocabulary/olfactory-objects/138,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,255.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,3.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
885,http://data.odeuropa.eu/vocabulary/olfactory-objects/138,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,255.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,3.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
332,http://data.odeuropa.eu/vocabulary/olfactory-objects/138,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,255.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,3.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
946,http://data.odeuropa.eu/vocabulary/olfactory-objects/138,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,255.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,3.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
272,http://data.odeuropa.eu/vocabulary/olfactory-objects/432,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
